postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/12168_0000.tif,web/12168_0000_web.jpg,thumb/12168_0000_thumb.jpg
2,Inside front cover,master/12168_0001.tif,web/12168_0001_web.jpg,thumb/12168_0001_thumb.jpg
3,Flyleaf 1r,master/12168_0002.tif,web/12168_0002_web.jpg,thumb/12168_0002_thumb.jpg
4,Flyeaf 1v,master/12168_0003.tif,web/12168_0003_web.jpg,thumb/12168_0003_thumb.jpg
5,p. 1a recto,master/12168_0004.tif,web/12168_0004_web.jpg,thumb/12168_0004_thumb.jpg
6,p. 1a verso,master/12168_0005.tif,web/12168_0005_web.jpg,thumb/12168_0005_thumb.jpg
7,p. 1b,master/12168_0006.tif,web/12168_0006_web.jpg,thumb/12168_0006_thumb.jpg
8,p. 2a,master/12168_0007.tif,web/12168_0007_web.jpg,thumb/12168_0007_thumb.jpg
9,p. 2b,master/12168_0008.tif,web/12168_0008_web.jpg,thumb/12168_0008_thumb.jpg
10,p. 3a,master/12168_0009.tif,web/12168_0009_web.jpg,thumb/12168_0009_thumb.jpg
11,p. 3b,master/12168_0010.tif,web/12168_0010_web.jpg,thumb/12168_0010_thumb.jpg
12,p. 4a,master/12168_0011.tif,web/12168_0011_web.jpg,thumb/12168_0011_thumb.jpg
13,p. 4b,master/12168_0012.tif,web/12168_0012_web.jpg,thumb/12168_0012_thumb.jpg
14,p. 5a,master/12168_0013.tif,web/12168_0013_web.jpg,thumb/12168_0013_thumb.jpg
15,p. 5b,master/12168_0014.tif,web/12168_0014_web.jpg,thumb/12168_0014_thumb.jpg
16,p. 6a,master/12168_0015.tif,web/12168_0015_web.jpg,thumb/12168_0015_thumb.jpg
17,p. 6b,master/12168_0016.tif,web/12168_0016_web.jpg,thumb/12168_0016_thumb.jpg
18,p. 7a,master/12168_0017.tif,web/12168_0017_web.jpg,thumb/12168_0017_thumb.jpg
19,p. 7b,master/12168_0018.tif,web/12168_0018_web.jpg,thumb/12168_0018_thumb.jpg
20,p. 8a,master/12168_0019.tif,web/12168_0019_web.jpg,thumb/12168_0019_thumb.jpg
21,p. 8b,master/12168_0020.tif,web/12168_0020_web.jpg,thumb/12168_0020_thumb.jpg
22,p. 9a,master/12168_0021.tif,web/12168_0021_web.jpg,thumb/12168_0021_thumb.jpg
23,p. 9b,master/12168_0022.tif,web/12168_0022_web.jpg,thumb/12168_0022_thumb.jpg
24,p. 10a,master/12168_0023.tif,web/12168_0023_web.jpg,thumb/12168_0023_thumb.jpg
25,p. 10b,master/12168_0024.tif,web/12168_0024_web.jpg,thumb/12168_0024_thumb.jpg
