postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/12155_0000.tif,web/12155_0000_web.jpg,thumb/12155_0000_thumb.jpg
2,p. i,master/12155_0001.tif,web/12155_0001_web.jpg,thumb/12155_0001_thumb.jpg
3,p. ii,master/12155_0002.tif,web/12155_0002_web.jpg,thumb/12155_0002_thumb.jpg
4,p. iii,master/12155_0003.tif,web/12155_0003_web.jpg,thumb/12155_0003_thumb.jpg
5,p. iv,master/12155_0004.tif,web/12155_0004_web.jpg,thumb/12155_0004_thumb.jpg
6,p. v,master/12155_0005.tif,web/12155_0005_web.jpg,thumb/12155_0005_thumb.jpg
7,p. vi,master/12155_0006.tif,web/12155_0006_web.jpg,thumb/12155_0006_thumb.jpg
8,p. vii,master/12155_0007.tif,web/12155_0007_web.jpg,thumb/12155_0007_thumb.jpg
9,p. viii,master/12155_0008.tif,web/12155_0008_web.jpg,thumb/12155_0008_thumb.jpg
10,p. 1a,master/12155_0009.tif,web/12155_0009_web.jpg,thumb/12155_0009_thumb.jpg
11,p. 1b,master/12155_0010.tif,web/12155_0010_web.jpg,thumb/12155_0010_thumb.jpg
12,p. 2a,master/12155_0011.tif,web/12155_0011_web.jpg,thumb/12155_0011_thumb.jpg
13,p. 2b,master/12155_0012.tif,web/12155_0012_web.jpg,thumb/12155_0012_thumb.jpg
14,p. 3a,master/12155_0013.tif,web/12155_0013_web.jpg,thumb/12155_0013_thumb.jpg
15,p. 3b,master/12155_0014.tif,web/12155_0014_web.jpg,thumb/12155_0014_thumb.jpg
16,p. 4a,master/12155_0015.tif,web/12155_0015_web.jpg,thumb/12155_0015_thumb.jpg
17,p. 4b,master/12155_0016.tif,web/12155_0016_web.jpg,thumb/12155_0016_thumb.jpg
18,p. 5a,master/12155_0017.tif,web/12155_0017_web.jpg,thumb/12155_0017_thumb.jpg
19,p. 5b,master/12155_0018.tif,web/12155_0018_web.jpg,thumb/12155_0018_thumb.jpg
20,p. 6a,master/12155_0019.tif,web/12155_0019_web.jpg,thumb/12155_0019_thumb.jpg
21,p. 6b,master/12155_0020.tif,web/12155_0020_web.jpg,thumb/12155_0020_thumb.jpg
22,p. 7a,master/12155_0021.tif,web/12155_0021_web.jpg,thumb/12155_0021_thumb.jpg
23,p. 7b,master/12155_0022.tif,web/12155_0022_web.jpg,thumb/12155_0022_thumb.jpg
24,p. 8a,master/12155_0023.tif,web/12155_0023_web.jpg,thumb/12155_0023_thumb.jpg
25,p. 8b,master/12155_0024.tif,web/12155_0024_web.jpg,thumb/12155_0024_thumb.jpg
26,p. 9a,master/12155_0025.tif,web/12155_0025_web.jpg,thumb/12155_0025_thumb.jpg
27,p. 9b,master/12155_0026.tif,web/12155_0026_web.jpg,thumb/12155_0026_thumb.jpg
28,p. 10a,master/12155_0027.tif,web/12155_0027_web.jpg,thumb/12155_0027_thumb.jpg
29,p. 10b,master/12155_0028.tif,web/12155_0028_web.jpg,thumb/12155_0028_thumb.jpg
30,p. 11a,master/12155_0029.tif,web/12155_0029_web.jpg,thumb/12155_0029_thumb.jpg
31,p. 11b,master/12155_0030.tif,web/12155_0030_web.jpg,thumb/12155_0030_thumb.jpg
32,p. 12a,master/12155_0031.tif,web/12155_0031_web.jpg,thumb/12155_0031_thumb.jpg
33,p. 12b,master/12155_0032.tif,web/12155_0032_web.jpg,thumb/12155_0032_thumb.jpg
34,p. 13a,master/12155_0033.tif,web/12155_0033_web.jpg,thumb/12155_0033_thumb.jpg
35,p. 13b,master/12155_0034.tif,web/12155_0034_web.jpg,thumb/12155_0034_thumb.jpg
36,p. 14a,master/12155_0035.tif,web/12155_0035_web.jpg,thumb/12155_0035_thumb.jpg
37,p. 14b,master/12155_0036.tif,web/12155_0036_web.jpg,thumb/12155_0036_thumb.jpg
38,p. 15a,master/12155_0037.tif,web/12155_0037_web.jpg,thumb/12155_0037_thumb.jpg
39,p. 15b,master/12155_0038.tif,web/12155_0038_web.jpg,thumb/12155_0038_thumb.jpg
40,p. 16a,master/12155_0039.tif,web/12155_0039_web.jpg,thumb/12155_0039_thumb.jpg
41,p. 16b,master/12155_0040.tif,web/12155_0040_web.jpg,thumb/12155_0040_thumb.jpg
42,p. 17a,master/12155_0041.tif,web/12155_0041_web.jpg,thumb/12155_0041_thumb.jpg
43,p. 17b,master/12155_0042.tif,web/12155_0042_web.jpg,thumb/12155_0042_thumb.jpg
44,p. 18a,master/12155_0043.tif,web/12155_0043_web.jpg,thumb/12155_0043_thumb.jpg
45,p. 18b,master/12155_0044.tif,web/12155_0044_web.jpg,thumb/12155_0044_thumb.jpg
46,p. 19a,master/12155_0045.tif,web/12155_0045_web.jpg,thumb/12155_0045_thumb.jpg
47,p. 19b,master/12155_0046.tif,web/12155_0046_web.jpg,thumb/12155_0046_thumb.jpg
48,p. 20a,master/12155_0047.tif,web/12155_0047_web.jpg,thumb/12155_0047_thumb.jpg
49,p. 20b,master/12155_0048.tif,web/12155_0048_web.jpg,thumb/12155_0048_thumb.jpg
50,Back cover,master/12155_0049.tif,web/12155_0049_web.jpg,thumb/12155_0049_thumb.jpg
51,Color card,master/12155_0050.tif,web/12155_0050_web.jpg,thumb/12155_0050_thumb.jpg
